stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000322570,9606.ENSP00000328236,POLE,KNTC1,9606,0.614,0.0,0.0,0.0,0.531,0.0,0.0,0.21
9606.ENSP00000322570,9606.ENSP00000347232,POLE,BLM,9606,0.684,0.0,0.0,0.0,0.267,0.114,0.4,0.285
9606.ENSP00000322570,9606.ENSP00000405726,POLE,CDC45,9606,0.995,0.0,0.0,0.0,0.277,0.967,0.5,0.647
9606.ENSP00000328236,9606.ENSP00000347232,KNTC1,BLM,9606,0.448,0.0,0.0,0.0,0.448,0.0,0.0,0.0
9606.ENSP00000328236,9606.ENSP00000405726,KNTC1,CDC45,9606,0.698,0.0,0.0,0.0,0.583,0.0,0.0,0.305
9606.ENSP00000328236,9606.ENSP00000387007,KNTC1,NCAPG2,9606,0.742,0.0,0.0,0.0,0.705,0.0,0.0,0.16
9606.ENSP00000329466,9606.ENSP00000423563,SIRT7,MACROH2A1,9606,0.584,0.052,0.0,0.0,0.098,0.059,0.0,0.544
9606.ENSP00000332444,9606.ENSP00000457723,CSTF2T,RNPS1,9606,0.69,0.0,0.0,0.0,0.142,0.544,0.0,0.27
9606.ENSP00000336712,9606.ENSP00000476386,TNPO1,DCP1A,9606,0.543,0.0,0.0,0.0,0.088,0.0,0.5,0.079
9606.ENSP00000336712,9606.ENSP00000480826,TNPO1,H3C1,9606,0.903,0.0,0.0,0.0,0.0,0.903,0.0,0.0
9606.ENSP00000336783,9606.ENSP00000387170,TNRC6C,GIGYF2,9606,0.503,0.0,0.0,0.0,0.304,0.0,0.0,0.315
9606.ENSP00000336783,9606.ENSP00000385216,TNRC6C,NCOA1,9606,0.542,0.0,0.0,0.0,0.116,0.0,0.5,0.047
9606.ENSP00000336783,9606.ENSP00000367022,TNRC6C,H2AC6,9606,0.558,0.0,0.0,0.0,0.0,0.153,0.5,0.0
9606.ENSP00000336783,9606.ENSP00000366618,TNRC6C,H2BC13,9606,0.558,0.0,0.0,0.0,0.0,0.144,0.5,0.052
9606.ENSP00000336783,9606.ENSP00000358155,TNRC6C,H2AC18,9606,0.558,0.0,0.0,0.0,0.0,0.153,0.5,0.0
9606.ENSP00000336783,9606.ENSP00000401946,TNRC6C,TNRC6B,9606,0.577,0.0,0.0,0.0,0.064,0.165,0.4,0.205
9606.ENSP00000347232,9606.ENSP00000392028,BLM,CHD7,9606,0.433,0.048,0.0,0.0,0.066,0.139,0.0,0.347
9606.ENSP00000347232,9606.ENSP00000366618,BLM,H2BC13,9606,0.536,0.0,0.0,0.0,0.08,0.066,0.5,0.047
9606.ENSP00000347232,9606.ENSP00000440190,BLM,TDRD3,9606,0.551,0.0,0.0,0.0,0.062,0.405,0.0,0.259
9606.ENSP00000347232,9606.ENSP00000405726,BLM,CDC45,9606,0.788,0.0,0.0,0.0,0.453,0.0,0.0,0.628
9606.ENSP00000347719,9606.ENSP00000417901,TBCD,GPHN,9606,0.404,0.215,0.0,0.0,0.117,0.0,0.0,0.209
9606.ENSP00000347719,9606.ENSP00000387007,TBCD,NCAPG2,9606,0.426,0.0,0.0,0.0,0.1,0.0,0.0,0.388
9606.ENSP00000347719,9606.ENSP00000392028,TBCD,CHD7,9606,0.432,0.0,0.0,0.0,0.052,0.111,0.0,0.38
9606.ENSP00000354039,9606.ENSP00000387170,UBAP2,GIGYF2,9606,0.477,0.0,0.0,0.0,0.446,0.046,0.0,0.09
9606.ENSP00000354039,9606.ENSP00000389445,UBAP2,UBAP2L,9606,0.598,0.0,0.0,0.057,0.126,0.537,0.0,0.072
9606.ENSP00000356426,9606.ENSP00000409279,TAB2,OTUD4,9606,0.46,0.0,0.0,0.0,0.447,0.0,0.0,0.064
9606.ENSP00000358155,9606.ENSP00000362748,H2AC18,TET1,9606,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43
9606.ENSP00000358155,9606.ENSP00000392028,H2AC18,CHD7,9606,0.442,0.0,0.0,0.0,0.042,0.153,0.0,0.368
9606.ENSP00000358155,9606.ENSP00000433760,H2AC18,BANF1,9606,0.49,0.0,0.0,0.0,0.083,0.0,0.0,0.467
9606.ENSP00000358155,9606.ENSP00000401946,H2AC18,TNRC6B,9606,0.504,0.0,0.0,0.0,0.0,0.049,0.5,0.0
9606.ENSP00000358155,9606.ENSP00000480826,H2AC18,H3C1,9606,0.536,0.0,0.024,0.0,0.185,0.284,0.0,0.268
9606.ENSP00000358155,9606.ENSP00000387007,H2AC18,NCAPG2,9606,0.557,0.0,0.0,0.0,0.042,0.0,0.5,0.151
9606.ENSP00000358155,9606.ENSP00000360162,H2AC18,SMARCA1,9606,0.823,0.0,0.0,0.0,0.055,0.293,0.0,0.757
9606.ENSP00000358155,9606.ENSP00000366618,H2AC18,H2BC13,9606,0.889,0.0,0.018,0.0,0.25,0.178,0.4,0.735
9606.ENSP00000358155,9606.ENSP00000367022,H2AC18,H2AC6,9606,0.972,0.0,0.0,0.048,0.771,0.814,0.4,0.047
9606.ENSP00000358155,9606.ENSP00000479106,H2AC18,H4C1,9606,0.972,0.0,0.019,0.0,0.193,0.915,0.0,0.63
9606.ENSP00000360162,9606.ENSP00000366618,SMARCA1,H2BC13,9606,0.415,0.0,0.0,0.0,0.058,0.291,0.0,0.194
9606.ENSP00000360162,9606.ENSP00000392028,SMARCA1,CHD7,9606,0.439,0.0,0.0,0.137,0.051,0.298,0.0,0.139
9606.ENSP00000360162,9606.ENSP00000423563,SMARCA1,MACROH2A1,9606,0.627,0.0,0.0,0.0,0.069,0.478,0.0,0.294
9606.ENSP00000360162,9606.ENSP00000433760,SMARCA1,BANF1,9606,0.689,0.0,0.0,0.0,0.074,0.0,0.0,0.678
9606.ENSP00000360162,9606.ENSP00000480826,SMARCA1,H3C1,9606,0.698,0.0,0.0,0.0,0.067,0.663,0.0,0.115
9606.ENSP00000361180,9606.ENSP00000361446,GTF3C5,POLR3A,9606,0.783,0.0,0.0,0.0,0.074,0.091,0.5,0.546
9606.ENSP00000361446,9606.ENSP00000433760,POLR3A,BANF1,9606,0.406,0.0,0.0,0.0,0.062,0.0,0.0,0.392
9606.ENSP00000361446,9606.ENSP00000392028,POLR3A,CHD7,9606,0.417,0.0,0.0,0.0,0.067,0.277,0.0,0.205
9606.ENSP00000361446,9606.ENSP00000409279,POLR3A,OTUD4,9606,0.523,0.0,0.0,0.0,0.067,0.0,0.0,0.51
9606.ENSP00000365782,9606.ENSP00000439056,CEP78,HAUS5,9606,0.513,0.0,0.0,0.0,0.067,0.0,0.5,0.0
9606.ENSP00000366618,9606.ENSP00000401946,H2BC13,TNRC6B,9606,0.515,0.0,0.0,0.0,0.0,0.071,0.5,0.0
9606.ENSP00000366618,9606.ENSP00000387007,H2BC13,NCAPG2,9606,0.52,0.0,0.0,0.0,0.061,0.0,0.5,0.06
9606.ENSP00000366618,9606.ENSP00000423563,H2BC13,MACROH2A1,9606,0.592,0.0,0.001,0.0,0.243,0.167,0.0,0.405
9606.ENSP00000366618,9606.ENSP00000480826,H2BC13,H3C1,9606,0.637,0.0,0.053,0.0,0.311,0.183,0.0,0.399
9606.ENSP00000366618,9606.ENSP00000367022,H2BC13,H2AC6,9606,0.65,0.0,0.018,0.0,0.275,0.178,0.4,0.136
9606.ENSP00000366618,9606.ENSP00000479106,H2BC13,H4C1,9606,0.721,0.0,0.144,0.0,0.373,0.19,0.0,0.434
9606.ENSP00000367022,9606.ENSP00000387007,H2AC6,NCAPG2,9606,0.501,0.0,0.0,0.0,0.044,0.0,0.5,0.0
9606.ENSP00000367022,9606.ENSP00000401946,H2AC6,TNRC6B,9606,0.504,0.0,0.0,0.0,0.042,0.049,0.5,0.0
9606.ENSP00000367022,9606.ENSP00000480826,H2AC6,H3C1,9606,0.933,0.0,0.024,0.0,0.156,0.914,0.0,0.151
9606.ENSP00000367022,9606.ENSP00000479106,H2AC6,H4C1,9606,0.969,0.0,0.019,0.0,0.21,0.938,0.0,0.423
9606.ENSP00000385216,9606.ENSP00000401946,NCOA1,TNRC6B,9606,0.534,0.0,0.0,0.0,0.079,0.059,0.5,0.052
9606.ENSP00000385216,9606.ENSP00000399968,NCOA1,NCOA2,9606,0.997,0.0,0.0,0.09,0.182,0.735,0.9,0.902
9606.ENSP00000387007,9606.ENSP00000405726,NCAPG2,CDC45,9606,0.577,0.0,0.0,0.0,0.488,0.0,0.0,0.207
9606.ENSP00000387170,9606.ENSP00000389445,GIGYF2,UBAP2L,9606,0.434,0.0,0.0,0.0,0.345,0.046,0.0,0.166
9606.ENSP00000387170,9606.ENSP00000401946,GIGYF2,TNRC6B,9606,0.749,0.0,0.0,0.0,0.063,0.705,0.0,0.164
9606.ENSP00000423563,9606.ENSP00000479106,MACROH2A1,H4C1,9606,0.943,0.0,0.002,0.0,0.193,0.914,0.0,0.247
9606.ENSP00000423563,9606.ENSP00000480826,MACROH2A1,H3C1,9606,0.977,0.0,0.002,0.0,0.133,0.972,0.0,0.129
9606.ENSP00000457723,9606.ENSP00000476386,RNPS1,DCP1A,9606,0.59,0.0,0.0,0.0,0.074,0.0,0.5,0.186
9606.ENSP00000479106,9606.ENSP00000480826,H4C1,H3C1,9606,0.987,0.0,0.069,0.0,0.324,0.915,0.0,0.794
