query,library,term,p_value,adj_p_value,n_genes,genes
UBR3wt (50),ChEA_2022,ENL 26711339 ChIP-Seq SEM Human Blood Leukemia,6.772655628712218e-05,0.0067218132636299235,13,TLE4;OTUD4;KHDRBS1;BLM;CHD7;SMARCA5;TDRD3;GPHN;PSPC1;TNPO1;LRCH3;TNRC6B;TMPO
UBR3wt (50),ChEA_2022,YY1 33199912 ChIP-Seq 293T Human KidneyEmbryo,6.991484821011808e-05,0.0067218132636299235,21,KHDRBS1;UBR3;CSTF2T;ISL1;MACROH2A1;N4BP2L2;GIGYF2;LARP1B;FTSJ3;GCFC2;PSPC1;H3C1;MVB12A;EIF3G;UFD1;DCP1A;TNPO1;LRCH3;TNRC6B;TMPO;RBM6
UBR3wt (50),ChEA_2022,HNF1A 27111144 ChIP-Seq CD8+TCells Mouse Blood Lymphoma,9.540634980408884e-05,0.008026059177268974,19,TLE4;NCOA2;KHDRBS1;CHD7;SMARCA5;UBR3;N4BP2L2;TDRD3;H2AC18;TNRC6C;RAI1;MVB12A;EIF3G;UBAP2;BANF1;TNPO1;TNRC6B;TMPO;RBM6
UBR3wt (50),ChEA_2022,YAP1 20516196 ChIP-Seq MESCs Mouse,0.00013586105672444234,0.01015938790839441,14,TLE4;NCOA1;OTUD4;NCOA2;COL14A1;CHD7;SMARCA5;TDRD3;GPHN;TNRC6C;RAI1;FRG1;BANF1;TMPO
UBR3wt (50),ChEA_2022,MYC 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma,0.00020251676149466902,0.013629378048591224,22,TLE4;NCOA2;H2AC6;CHD7;SMARCA5;UBR3;ISL1;MACROH2A1;GIGYF2;LARP1B;H2BC13;GCFC2;FRG1;H3C1;MVB12A;UFD1;UBAP2;DCP1A;TNPO1;LRCH3;TNRC6B;RBM6
UBR3wt (50),ChEA_2022,PHOX2B 30127528 ChIP-Seq KELLY Human BrainNeuroblastoma,0.0005417190380355311,0.03314335569071931,13,NCOA1;NCOA2;COL14A1;CHD7;TET1;UBR3;CSTF2T;ISL1;MACROH2A1;H2BC13;GCFC2;TNPO1;TNRC6B
UBR3wt (50),ChEA_2022,CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat,0.0010161015892977195,0.056986364133113775,13,TLE4;OTUD4;NCOA2;SMARCA5;CSTF2T;ISL1;N4BP2L2;GPHN;FTSJ3;UBAP2;DCP1A;TNRC6B;RBM6
UBR3wt (50),ChEA_2022,GF1 26923725 Chip-Seq HPCs Mouse,0.0013530755743242364,0.06875290040230907,9,NCOA1;CHD7;SMARCA5;CSTF2T;UBAP2L;DCP1A;ISL1;TDRD3;TNRC6B
UBR3wt (50),ChEA_2022,NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,0.0014302237825146017,0.06875290040230907,19,TLE4;NCOA1;OTUD4;NCOA2;BLM;CHD7;UBR3;ISL1;TDRD3;LARP1B;GPHN;TNRC6C;GCFC2;FRG1;UBAP2;TAB2;DCP1A;TNPO1;TNRC6B
UBR3wt (50),ChEA_2022,CHD4 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo,0.0016843411056815692,0.0740838850199502,13,TLE4;NCOA1;NCOA2;CHD7;MACROH2A1;LARP1B;TNRC6C;RAI1;GCFC2;PSPC1;MVB12A;DCP1A;TMPO
UBR3wt (50),ChEA_2022,GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human,0.0017612810703108515,0.0740838850199502,8,KHDRBS1;BLM;PSPC1;FRG1;SMARCA5;TNPO1;GPHN;TNRC6B
UBR3wt (50),ChEA_2022,CREM 20920259 ChIP-Seq GC1-SPG Mouse,0.002431033958791584,0.09624034436863152,21,TLE4;OTUD4;NCOA2;KHDRBS1;BLM;CHD7;SMARCA5;CSTF2T;N4BP2L2;TDRD3;GIGYF2;GPHN;TNRC6C;RAI1;PSPC1;UBAP2;UBAP2L;TNPO1;CCHCR1;TMPO;RBM6
UBR3wt (50),ChEA_2022,ZBTB16 27035670 ChIP-Seq hESC Human Endometrial,0.0026910951322882525,0.09967858776092817,6,SMARCA5;UBR3;TAB2;CCHCR1;POLE;TMPO
UBR3wt (50),ChEA_2022,NELFA 20434984 ChIP-Seq ESCs Mouse,0.002814105746593812,0.09967858776092817,10,TLE4;OTUD4;TNRC6C;KHDRBS1;PSPC1;SMARCA5;UBAP2;DCP1A;LRCH3;RBM6
UBR3wt (50),DisGeNET,Neurodevelopmental Disorders,8.131616508689636e-07,0.0008465012785545911,7,RAI1;CHD7;BANF1;SMARCA1;GIGYF2;GPHN;TNRC6B
UBR3wt (50),DisGeNET,Malar flattening,2.834491157859084e-06,0.0009835684317771021,6,RAI1;BLM;CHD7;UFD1;BANF1;POLE
UBR3wt (50),DisGeNET,Hypotrophic malar bone,2.834491157859084e-06,0.0009835684317771021,6,RAI1;BLM;CHD7;UFD1;BANF1;POLE
UBR3wt (50),DisGeNET,Congenital Heart Defects,6.370605278420507e-05,0.01657950023708937,6,RAI1;CHD7;UFD1;BANF1;TAB2;SMARCA1
UBR3wt (50),DisGeNET,Addicted to cocaine,0.00021804660985203623,0.04539730417119394,2,SMARCA5;SMARCA1
UBR3wt (50),DisGeNET,Nicolaides Baraitser syndrome,0.00046942457388711873,0.0814451635694151,2,BANF1;SMARCA1
UBR3wt (50),InterPro_Domains_2019,Ubiquitin-associated domain,4.357614639431624e-06,0.00016994697093783334,4,TNRC6C;UBAP2L;UBAP2;TDRD3
UBR3wt (50),InterPro_Domains_2019,"SNF2-related, N-terminal domain",6.928645627860575e-05,0.001351085897432812,3,CHD7;SMARCA5;SMARCA1
UBR3wt (50),InterPro_Domains_2019,"Helicase, C-terminal",0.0001529493133786741,0.0016005995348142602,4,BLM;CHD7;SMARCA5;SMARCA1
UBR3wt (50),InterPro_Domains_2019,"Helicase superfamily 1/2, ATP-binding domain",0.00016416405485274464,0.0016005995348142602,4,BLM;CHD7;SMARCA5;SMARCA1
UBR3wt (50),InterPro_Domains_2019,RNA recognition motif domain,0.00023204441967600452,0.0018099464734728352,5,TNRC6C;PSPC1;EIF3G;CSTF2T;RBM6
UBR3wt (50),InterPro_Domains_2019,PAS fold,0.0010193089566942573,0.006625508218512672,2,NCOA1;NCOA2
UBR3wt (50),InterPro_Domains_2019,SANT domain,0.0019157650058532817,0.010673547889753998,2,SMARCA5;SMARCA1
UBR3wt (50),InterPro_Domains_2019,PAS domain,0.003265007400933762,0.01591691107955209,2,NCOA1;NCOA2
UBR3wt (50),InterPro_Domains_2019,SANT/Myb domain,0.005418765891608996,0.02348131886363898,2,SMARCA5;SMARCA1
UBR3wt (50),InterPro_Domains_2019,Ribosomal RNA methyltransferase FtsJ domain,0.012438777192772534,0.0373163315783176,1,FTSJ3
