gene,wt_rank,WT_293T_log2diff,cellular_role,n_terms,n_specific_terms,n_pathway_modules,pathway_modules,gene_module,n_mutual_partners,mutual_partners,specific_terms
MCRIP2,9,9.00793202718099,Transcription & coregulators,9,2,1,1,2,3,GIGYF2;LARP1B;UBAP2L,cytoplasmic ribonucleoprotein granule;cytoplasmic stress granule
BANF1,11,8.7847048441569,Histones & chromatin,22,1,1,4,0,0,,BAFL-BAF-LAP2beta complex
UFD1,31,5.76611518859863,Ubiquitin & proteostasis,16,1,1,2,0,0,,DNA Repair
TMPO,28,6.7105229695638,Histones & chromatin,11,1,1,4,0,0,,BAFL-BAF-LAP2beta complex
KHDRBS1,45,2.6049690246582,RNA processing & splicing,23,0,0,,0,0,,
ISL1,17,7.79051208496094,Transcription & coregulators,22,0,0,,0,0,,
PSPC1,42,3.20085652669271,RNA processing & splicing,22,0,0,,0,0,,
TDRD3,3,10.3028093973796,Chromatin remodeling / DNA modification,20,0,0,,0,0,,
TAB2,14,8.54893112182617,mTOR & signaling,14,0,0,,0,0,,
FRG1,26,6.78778648376465,RNA processing & splicing,14,0,0,,0,0,,
FTSJ3,46,2.44136301676432,RNA processing & splicing,14,0,0,,0,0,,
N4BP2L2,20,7.56002998352051,Ubiquitin & proteostasis,13,0,0,,0,0,,
TNPO1,23,7.17687543233236,"Protein folding, ER & transport",13,0,0,,0,0,,
GCFC2,35,4.69440460205078,RNA processing & splicing,13,0,0,,0,0,,
CSTF2T,39,3.71161206563314,RNA processing & splicing,11,0,0,,0,0,,
COL14A1,8,9.0170300801595,Cytoskeleton & structural,9,0,0,,0,0,,
OTUD4,19,7.6890926361084,Ubiquitin & proteostasis,8,0,0,,0,0,,
RBM6,29,6.17563311258952,RNA processing & splicing,7,0,0,,0,0,,
MVB12A,34,5.03583590189616,"Protein folding, ER & transport",6,0,0,,0,0,,
CCHCR1,36,4.2830499013265,Cytoskeleton & structural,6,0,0,,0,0,,
GPHN,27,6.74012629191081,Cytoskeleton & structural,5,0,0,,0,0,,
UBR3,1,17.1552797953288,Ubiquitin & proteostasis,4,0,0,,0,0,,
EIF3G,30,6.07990455627441,mRNA silencing & translation,4,0,0,,0,0,,
LRCH3,21,7.48434003194173,Cytoskeleton & structural,2,0,0,,0,0,,
RAI1,13,8.7039311726888,Transcription & coregulators,0,0,0,,0,0,,
CLECL1P,24,7.06810188293457,Mitochondria & other,0,0,0,,0,0,,
H3C1,37,4.26471265157064,Histones & chromatin,0,0,0,,0,0,,
H4C1,38,3.93957010904948,Histones & chromatin,0,0,0,,0,0,,
H2AC18,44,2.77331352233887,Histones & chromatin,0,0,0,,0,0,,
