source,term_id,term_name,p_value,term_size,query_size,intersection_size,precision,recall,neg_log10_p,genes,n_genes,specific,survives_without_histones,histone_driven,module,module_label
GO:CC,GO:0070013,intracellular organelle lumen,0.0027193606756718393,6791,45,28,0.6222222222222222,0.004123104108378736,2.565533187018666,CHD7;TDRD3;H3-7;SMARCA5;BCL9;COL14A1;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,28,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0031974,membrane-enclosed lumen,0.0027193606756718393,6791,45,28,0.6222222222222222,0.004123104108378736,2.565533187018666,CHD7;TDRD3;H3-7;SMARCA5;BCL9;COL14A1;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,28,False,True,False,0,(broad term - not clustered)
REAC,REAC:R-HSA-8939211,ESR-mediated signaling,0.0035132608774168764,215,27,6,0.2222222222222222,0.027906976744186046,2.454289600445368,H2AC6;TNRC6C;NCOA2;TNRC6B;H2BC13;NCOA1,6,True,False,True,1,cytoplasmic ribonucleoprotein granule
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,0.005455245164406336,3152,42,19,0.4523809523809524,0.006027918781725888,2.263185726990162,UBR3;CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;TAB2;SMARCA1;ISL1;TET1;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;GIGYF2;KHDRBS1;NCOA1,19,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0090537,CERF complex,0.005486750623776555,4,45,2,0.044444444444444446,0.5,2.2606847783092854,SMARCA5;SMARCA1,2,True,True,False,2,CERF complex
GO:MF,GO:0140658,ATP-dependent chromatin remodeler activity,0.00561551440057595,20,45,3,0.06666666666666667,0.15,2.2506104547009844,CHD7;SMARCA5;SMARCA1,3,True,True,False,2,CERF complex
KEGG,KEGG:03082,ATP-dependent chromatin remodeling,0.00833697170002754,117,20,4,0.2,0.03418803418803419,2.078991672719439,SMARCA5;H2AC6;SMARCA1;MACROH2A1,4,True,False,True,2,CERF complex
GO:MF,GO:0140097,"catalytic activity, acting on DNA",0.008599645440360846,248,45,6,0.13333333333333333,0.024193548387096774,2.0655194541598134,CHD7;SMARCA5;BLM;SMARCA1;TET1;POLE,6,True,True,False,2,CERF complex
GO:CC,GO:0010494,cytoplasmic stress granule,0.009781728692737489,96,45,4,0.08888888888888889,0.041666666666666664,2.0095843869942938,MCRIP2;LARP1B;GIGYF2;UBAP2L,4,True,True,False,1,cytoplasmic ribonucleoprotein granule
GO:BP,GO:0009892,negative regulation of metabolic process,0.009800283591753051,3276,42,19,0.4523809523809524,0.0057997557997558,2.0087613569042944,SMARCA5;DCP1A;BLM;BANF1;H2AC6;TAB2;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,19,False,True,False,0,(broad term - not clustered)
GO:BP,GO:0051254,positive regulation of RNA metabolic process,0.01122534172973878,1804,42,14,0.3333333333333333,0.007760532150776054,1.9498004290256807,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;SMARCA1;ISL1;TET1;TNRC6C;NCOA2;TNRC6B;GIGYF2;NCOA1,14,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0000932,P-body,0.011478229394279813,100,45,4,0.08888888888888889,0.04,1.9401251000565296,DCP1A;TNRC6C;TNRC6B;UBAP2,4,True,True,False,1,cytoplasmic ribonucleoprotein granule
GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.01160038979985515,6392,42,27,0.6428571428571429,0.004224030037546934,1.9355274172315406,UBR3;CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;UBAP2;NCOA1,27,False,True,False,0,(broad term - not clustered)
GO:BP,GO:0051252,regulation of RNA metabolic process,0.011651535928743743,3654,42,20,0.47619047619047616,0.005473453749315818,1.9336168212980098,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;SMARCA1;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;NCOA1,20,False,True,False,0,(broad term - not clustered)
GO:MF,GO:0060090,molecular adaptor activity,0.011936041202465206,1334,45,12,0.26666666666666666,0.008995502248875561,1.9231396907115208,TDRD3;BCL9;COL14A1;TAB2;TLE4;OTUD4;N4BP2L2;GPHN;NCOA2;GIGYF2;KHDRBS1;NCOA1,12,False,True,False,0,(broad term - not clustered)
KEGG,KEGG:05322,Systemic lupus erythematosus,0.01490769354348306,136,20,4,0.2,0.029411764705882353,1.826589543590738,H3-7;H2AC6;MACROH2A1;H2BC13,4,True,False,True,3,Systemic lupus erythematosus
GO:MF,GO:0005515,protein binding,0.015081948710696083,15082,45,44,0.9777777777777777,0.0029173849622066038,1.8215425404540149,CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;COL14A1;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LRCH3;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;RBM6;EIF3G;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,44,False,True,False,0,(broad term - not clustered)
GO:BP,GO:0010558,negative regulation of macromolecule biosynthetic process,0.015846188871769622,2733,42,17,0.40476190476190477,0.0062202707647274055,1.800075171994028,SMARCA5;DCP1A;BANF1;H2AC6;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,17,False,False,True,0,(broad term - not clustered)
GO:BP,GO:0009893,positive regulation of metabolic process,0.017881690537403804,3410,42,19,0.4523809523809524,0.005571847507331379,1.74759142534102,UBR3;CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;TAB2;SMARCA1;ISL1;TET1;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;GIGYF2;KHDRBS1;NCOA1,19,False,True,False,0,(broad term - not clustered)
GO:BP,GO:0010605,negative regulation of macromolecule metabolic process,0.018105222740682363,3080,42,18,0.42857142857142855,0.005844155844155844,1.7421961278779445,SMARCA5;DCP1A;BLM;BANF1;H2AC6;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,18,False,False,True,0,(broad term - not clustered)
REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,0.01868046707863393,289,27,6,0.2222222222222222,0.020761245674740483,1.728612269051465,H2AC6;TNRC6C;NCOA2;TNRC6B;H2BC13;NCOA1,6,True,False,True,1,cytoplasmic ribonucleoprotein granule
GO:CC,GO:0016589,NURF complex,0.019129201948906546,7,45,2,0.044444444444444446,0.2857142857142857,1.7183031479243895,SMARCA5;SMARCA1,2,True,True,False,2,CERF complex
GO:CC,GO:0005622,intracellular anatomical structure,0.019984933555349894,18007,45,45,1.0,0.002499028155717221,1.699297291316454,UBR3;CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;COL14A1;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LRCH3;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;RBM6;EIF3G;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,45,False,True,False,0,(broad term - not clustered)
REAC,REAC:R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,0.02067771413277896,90,27,4,0.14814814814814814,0.044444444444444446,1.684497473043802,BCL9;H2AC6;TLE4;H2BC13,4,True,False,True,3,Systemic lupus erythematosus
GO:BP,GO:1904017,cellular response to Thyroglobulin triiodothyronine,0.021724461858901617,3,42,2,0.047619047619047616,0.6666666666666666,1.6630509727436986,NCOA2;NCOA1,2,True,True,False,1,cytoplasmic ribonucleoprotein granule
GO:BP,GO:0009890,negative regulation of biosynthetic process,0.022208571629771953,2802,42,17,0.40476190476190477,0.006067094932191292,1.653479372710259,SMARCA5;DCP1A;BANF1;H2AC6;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,17,False,False,True,0,(broad term - not clustered)
