query,source,term_id,term_name,p_value,term_size,query_size,intersection_size
UBR3wt (50),KEGG,KEGG:05322,Systemic lupus erythematosus,0.01490769354348306,136,20,4
UBR3wt (50),REAC,REAC:R-HSA-9018519,Estrogen-dependent gene expression,0.00038831321925907514,147,27,6
UBR3wt (50),REAC,REAC:R-HSA-8939211,ESR-mediated signaling,0.0035132608774168764,215,27,6
UBR3wt (50),REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,0.01868046707863393,289,27,6
UBR3wt (50),REAC,REAC:R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,0.02067771413277896,90,27,4
UBR3wt (50),REAC,REAC:R-HSA-1912408,Pre-NOTCH Transcription and Translation,0.022536269182820767,92,27,4
UBR3wt (50),REAC,REAC:R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,0.025548817696025,95,27,4
UBR3wt (50),REAC,REAC:R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.029103656587006577,36,27,3
UBR3wt (50),REAC,REAC:R-HSA-195721,Signaling by WNT,0.037041023294232325,327,27,6
UBR3wt (50),REAC,REAC:R-HSA-73894,DNA Repair,0.03830528266641983,329,27,6
UBR3wt (50),REAC,REAC:R-HSA-426496,Post-transcriptional silencing by small RNAs,0.039638478226379587,7,27,2
UBR3wt (50),REAC,REAC:R-HSA-1912422,Pre-NOTCH Expression and Processing,0.042086262680089,108,27,4
union (82),GO:BP,GO:0006974,DNA damage response,0.006926409731510358,929,74,14
union (82),GO:BP,GO:0051246,regulation of protein metabolic process,0.011649263435242778,1574,74,18
union (82),GO:BP,GO:0048518,positive regulation of biological process,0.01302979449398917,6150,74,40
union (82),GO:BP,GO:0022402,cell cycle process,0.015451322671105577,1290,74,16
union (82),GO:BP,GO:0009892,negative regulation of metabolic process,0.016738023157481855,3276,74,27
union (82),GO:BP,GO:0043170,macromolecule metabolic process,0.017820542578461197,11942,74,60
union (82),GO:BP,GO:1903047,mitotic cell cycle process,0.019717785531377603,747,74,12
union (82),GO:BP,GO:0000278,mitotic cell cycle,0.023296039568006986,893,74,13
union (82),GO:BP,GO:0007049,cell cycle,0.025841519478643632,1668,74,18
union (82),GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,0.026250802122585147,3152,74,26
union (82),GO:BP,GO:0033554,cellular response to stress,0.029749298625324647,1856,74,19
union (82),GO:BP,GO:0044770,cell cycle phase transition,0.03131397957599273,534,74,10
union (82),GO:BP,GO:0009893,positive regulation of metabolic process,0.035425128694327616,3410,74,27
union (82),GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.0359952121196184,6392,74,40
union (82),GO:BP,GO:0080090,regulation of primary metabolic process,0.04197470991491965,5215,74,35
union (82),GO:CC,GO:0005654,nucleoplasm,1.681147330367768e-11,4334,77,45
union (82),GO:CC,GO:0031981,nuclear lumen,2.1162866845276514e-07,5622,77,45
union (82),GO:CC,GO:0032991,protein-containing complex,3.231546858117546e-07,7979,77,54
union (82),GO:CC,GO:0043228,membraneless organelle,1.018061779168711e-06,7128,77,50
union (82),GO:CC,GO:0043232,intracellular membraneless organelle,1.018061779168711e-06,7128,77,50
union (82),GO:CC,GO:0005694,chromosome,2.324675171691965e-06,2010,77,25
union (82),GO:CC,GO:0005634,nucleus,2.3487213496198683e-06,10153,77,60
union (82),GO:CC,GO:0031974,membrane-enclosed lumen,9.574819054347156e-06,6791,77,47
union (82),GO:CC,GO:0043233,organelle lumen,9.574819054347156e-06,6791,77,47
union (82),GO:CC,GO:0070013,intracellular organelle lumen,9.574819054347156e-06,6791,77,47
union (82),GO:CC,GO:0035770,ribonucleoprotein granule,1.5981624443017647e-05,773,77,15
union (82),GO:CC,GO:0005622,intracellular anatomical structure,3.1839298734225275e-05,18007,77,77
union (82),GO:CC,GO:0005829,cytosol,4.0633320886578846e-05,5607,77,41
union (82),GO:CC,GO:0036464,cytoplasmic ribonucleoprotein granule,9.448185329572827e-05,264,77,9
union (82),GO:CC,GO:0099080,supramolecular complex,0.00011865478218789638,1938,77,22
union (82),GO:CC,GO:0043229,intracellular organelle,0.0002701892489040372,16204,77,73
union (82),GO:CC,GO:0000228,nuclear chromosome,0.004831513890264558,234,77,7
