query,library,term,p_value,adj_p_value,combined_score,n_genes,genes
UBR3ring (38),Reactome_2022,Cell Cycle R-HSA-1640170,2.5695147975402338e-05,0.002055611838032187,84.3,8,CDC23;CDC45;NCAPG2;KNTC1;HAUS5;AAAS;POLE;CEP78
UBR3ring (38),Reactome_2022,M Phase R-HSA-68886,7.465627794934281e-05,0.0044793766769605685,93.3,6,CDC23;NCAPG2;KNTC1;HAUS5;AAAS;CEP78
UBR3ring (38),Reactome_2022,Metabolism Of RNA R-HSA-8953854,0.00022572846393422677,0.010834966268842885,55.5,7,GCFC2;SART1;THOC3;RNPS1;PPIL3;AAAS;FTSJ3
UBR3ring (38),Reactome_2022,Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236,0.000373723806019872,0.012912069757808816,189.5,3,THOC3;RNPS1;AAAS
UBR3ring (38),Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,0.00037660203460275715,0.012912069757808816,103.7,4,GCFC2;SART1;RNPS1;PPIL3
UBR3ring (38),Reactome_2022,mRNA Splicing R-HSA-72172,0.0004435257656744408,0.013305772970233224,97.1,4,GCFC2;SART1;RNPS1;PPIL3
UBR3ring (38),Reactome_2022,Transport Of Mature Transcript To Cytoplasm R-HSA-72202,0.0005235116887638093,0.013960311700368247,160.9,3,THOC3;RNPS1;AAAS
UBR3ring (38),Reactome_2022,Cellular Response To Heat Stress R-HSA-3371556,0.0008751769051099342,0.021004245722638423,124.9,3,RPTOR;BAG2;AAAS
UBR3ring (38),Reactome_2022,RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066,0.0011099934165052713,0.02363201688652963,314.0,2,POLR3A;GTF3C5
UBR3ring (38),Reactome_2022,RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,0.0011973586786605637,0.02363201688652963,298.1,2,POLR3A;GTF3C5
UBR3ring (38),Reactome_2022,Gene Expression (Transcription) R-HSA-74160,0.0012800675813536885,0.02363201688652963,26.6,9,FANCI;RPTOR;POLR3A;CDC23;GTF3C5;TSC2;THOC3;RNPS1;AAAS
UBR3ring (38),Reactome_2022,Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,0.0013816675208550523,0.02368572892894375,270.1,2,RPTOR;TSC2
UBR3ring (38),Reactome_2022,Synthesis Of DNA R-HSA-69239,0.0014884340703910496,0.023814945126256794,95.5,3,CDC23;CDC45;POLE
UBR3ring (38),Reactome_2022,Activation Of Pre-Replicative Complex R-HSA-68962,0.0016818998191634993,0.02522849728745249,235.8,2,CDC45;POLE
UBR3ring (38),Reactome_2022,DNA Replication Pre-Initiation R-HSA-69002,0.0017933417392570572,0.025317765730687867,86.7,3,CDC23;CDC45;POLE
UBR3ring (38),Reactome_2022,RNA Polymerase III Transcription Initiation R-HSA-76046,0.0020103738257067983,0.026804984342757313,208.3,2,POLR3A;GTF3C5
UBR3ring (38),Reactome_2022,Fanconi Anemia Pathway R-HSA-6783310,0.0023667755648898794,0.028401306778678553,185.9,2,FANCI;FANCB
UBR3ring (38),Reactome_2022,Resolution Of Abasic Sites (AP Sites) R-HSA-73933,0.0023667755648898794,0.028401306778678553,185.9,2,MPG;POLE
UBR3ring (38),Reactome_2022,RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476,0.0026197382113525482,0.028789461862774417,173.2,2,POLR3A;GTF3C5
UBR3ring (38),Reactome_2022,MTOR Signaling R-HSA-165159,0.0027507935554289212,0.028789461862774417,167.3,2,RPTOR;TSC2
UBR3ring (38),Reactome_2022,DNA Repair R-HSA-73894,0.0027589900951825483,0.028789461862774417,44.5,4,FANCI;MPG;FANCB;POLE
UBR3ring (38),Reactome_2022,DNA Replication R-HSA-69306,0.00315690530121061,0.0315690530121061,64.3,3,CDC23;CDC45;POLE
UBR3ring (38),Reactome_2022,S Phase R-HSA-69242,0.0035128932325134673,0.03372377503212928,60.7,3,CDC23;CDC45;POLE
UBR3ring (38),Reactome_2022,Mitotic Prometaphase R-HSA-68877,0.005256388181543093,0.048300067829831955,48.6,3,KNTC1;HAUS5;CEP78
UBR3ring (38),Reactome_2022,mRNA 3-End Processing R-HSA-72187,0.005433757630856095,0.048300067829831955,103.0,2,THOC3;RNPS1
